longitude,latitude
[-5.98310423],[ 35.01795959]
[-5.98325205],[ 35.02130508]
[-5.98343945],[ 35.02293015]
[-5.98318815],[ 35.02381516]
[-5.98261404],[ 35.02348709]
[-5.98259783],[ 35.02401352]
[-5.98268509],[ 35.02421951]
[-5.98280001],[ 35.02434921]
[-5.98286152],[ 35.02441788]
[-5.98290443],[ 35.02439499]
[-5.982903],[ 35.02445221]
[-5.9829464],[ 35.02440262]
[-5.98295641],[ 35.02446747]
[-5.98292875],[ 35.02439499]
[-5.98303747],[ 35.02451324]
[-5.98304796],[ 35.02455521]
[-5.98301268],[ 35.02456284]
[-5.98295641],[ 35.02475357]
[-5.98276854],[ 35.02487564]
[-5.98273373],[ 35.0249939]
[-5.98270512],[ 35.02505875]
[-5.98266411],[ 35.0249939]
[-5.98271847],[ 35.02508163]
[-5.98270035],[ 35.02505875]
[-5.98243141],[ 35.0251236]
[-5.98236084],[ 35.02540588]
[-5.98204279],[ 35.02588654]
[-5.98032522],[ 35.02632141]
[-5.9789958],[ 35.0271225]
[-5.97810221],[ 35.02735901]
[-5.97764349],[ 35.0276413]
[-5.97738791],[ 35.02773285]
[-5.97724438],[ 35.02779388]
[-5.97718096],[ 35.02786255]
[-5.9771142],[ 35.02795792]
[-5.977005],[ 35.02815247]
[-5.97697163],[ 35.02840042]
[-5.97693491],[ 35.02856064]
[-5.97683954],[ 35.02870178]
[-5.97674417],[ 35.02871323]
[-5.97646952],[ 35.02861023]
[-5.97600269],[ 35.02843475]
[-5.97549295],[ 35.02837753]
[-5.97515917],[ 35.02833557]
[-5.97523594],[ 35.02833176]
[-5.97570705],[ 35.02819824]
[-5.97615814],[ 35.02794647]
[-5.9764986],[ 35.02773666]
[-5.97671366],[ 35.02761078]
[-5.97691441],[ 35.02754211]
[-5.97706079],[ 35.02745056]
[-5.97720957],[ 35.0273056]
[-5.97735023],[ 35.02709961]
[-5.97752857],[ 35.02682114]
[-5.97777414],[ 35.02641296]
[-5.97800255],[ 35.02616882]
[-5.97796774],[ 35.02591705]
[-5.97803831],[ 35.02556229]
[-5.97831392],[ 35.0255661]
[-5.97828102],[ 35.02506256]
[-5.97850943],[ 35.02480698]
[-5.97891092],[ 35.02486801]
[-5.97894955],[ 35.02453232]
[-5.97926712],[ 35.02453995]
[-5.97897911],[ 35.02450943]
[-5.97899961],[ 35.0240593]
[-5.97935295],[ 35.02484131]
[-5.97910023],[ 35.02422714]
[-5.97904253],[ 35.02425766]
[-5.97875404],[ 35.02392197]
[-5.97799683],[ 35.02348328]
[-5.9779706],[ 35.02284622]
[-5.97562551],[ 35.02185822]
[-5.97304153],[ 35.0169754]
[-5.97135544],[ 35.01049042]
[-5.9725647],[ 35.00334167]
[-5.97346878],[ 34.99982452]
[-5.97337866],[ 34.9961319]
[-5.97418547],[ 34.99615479]
[-5.97437525],[ 34.99534225]
[-5.97441912],[ 34.99500656]
[-5.97442961],[ 34.9948349]
[-5.97445154],[ 34.99475098]
[-5.974473],[ 34.99469757]
[-5.97449875],[ 34.9946785]
[-5.97453785],[ 34.99468613]
[-5.97462797],[ 34.99466324]
[-5.97460938],[ 34.9947319]
[-5.9745183],[ 34.99473572]
[-5.97450495],[ 34.99491501]
[-5.97435904],[ 34.99486542]
[-5.97423887],[ 34.99489975]
[-5.97425222],[ 34.99478149]
[-5.97416306],[ 34.99485779]
[-5.97411251],[ 34.99499512]
[-5.97409344],[ 34.99511719]
[-5.9740777],[ 34.9951973]
[-5.9741044],[ 34.99523544]
[-5.97408962],[ 34.99526596]
[-5.97408772],[ 34.99520493]
[-5.97404528],[ 34.9952507]
[-5.97408962],[ 34.99524307]
[-5.97432804],[ 34.99530029]
[-5.97400284],[ 34.99520493]
[-5.97408819],[ 34.99502945]
[-5.97431183],[ 34.99496841]
[-5.97440577],[ 34.99495316]
[-5.97428417],[ 34.99505234]
[-5.97427273],[ 34.995224]
[-5.97439051],[ 34.99541473]
[-5.97445536],[ 34.99559021]
[-5.97448301],[ 34.99569702]
[-5.97452259],[ 34.99578476]
[-5.97457647],[ 34.99575806]
[-5.97462511],[ 34.99575424]
[-5.97485018],[ 34.9957695]
