longitude,latitude
[ 8.9383049],[ 47.74692154]
[ 8.93841934],[ 47.7469368]
[ 8.93846512],[ 47.7468338]
[ 8.938447],[ 47.74679947]
[ 8.93847942],[ 47.74674606]
[ 8.93853188],[ 47.74672699]
[ 8.93851185],[ 47.74671173]
[ 8.9385376],[ 47.74672699]
[ 8.93845463],[ 47.74673462]
[ 8.93841648],[ 47.74675369]
[ 8.93854904],[ 47.74679565]
[ 8.93832016],[ 47.74674225]
[ 8.93842888],[ 47.74675369]
[ 8.93853951],[ 47.74674225]
[ 8.93856335],[ 47.74662399]
[ 8.93853474],[ 47.74671173]
[ 8.93858528],[ 47.74672699]
[ 8.93860245],[ 47.74675369]
[ 8.93858147],[ 47.74668503]
[ 8.93854713],[ 47.74668121]
[ 8.93858147],[ 47.7466774]
[ 8.93861198],[ 47.7466774]
[ 8.93864822],[ 47.74664307]
[ 8.93844414],[ 47.74662018]
[ 8.93847942],[ 47.74663925]
[ 8.93872452],[ 47.74670029]
[ 8.93859386],[ 47.7465477]
[ 8.93851185],[ 47.74652863]
[ 8.84296227],[ 47.77264786]
[ 8.91688442],[ 47.73871613]
[ 8.88985825],[ 47.75083923]
[ 4.57581329],[ 23.84471893]
[ 6.60542536],[ 35.78343964]
[ 7.74030781],[ 41.48071289]
[ 8.21566296],[ 44.67777252]
[ 4.25728893],[ 22.60754204]
[ 6.53437757],[ 35.13341141]
[ 7.74605274],[ 41.37353897]
[ 8.32989979],[ 44.59282303]
[ 8.63601398],[ 46.16437531]
[ 8.79408932],[ 46.95701599]
[ 8.86911106],[ 47.34994125]
[ 8.90453339],[ 47.54793549]
[ 8.92168808],[ 47.64727402]
[ 8.93017673],[ 47.69696808]
[ 8.93442726],[ 47.72180939]
[ 8.93636608],[ 47.73421478]
[ 8.93747711],[ 47.740448]
[ 8.93810844],[ 47.74359894]
[ 8.93829823],[ 47.74505997]
[ 8.93838596],[ 47.7458725]
[ 8.93861198],[ 47.74627304]
[ 8.93857288],[ 47.74641037]
[ 8.93852711],[ 47.7464447]
[ 8.93871403],[ 47.74649429]
[ 8.93855476],[ 47.74649429]
[ 8.93787289],[ 47.74656677]
[ 8.93903542],[ 47.74685669]
[ 8.93850708],[ 47.74670792]
[ 8.93865871],[ 47.74641037]
[ 8.9391489],[ 47.74694824]
[ 8.93796349],[ 47.74628067]
[ 8.93863583],[ 47.74683762]
[ 8.9385891],[ 47.74682236]
[ 8.93780136],[ 47.74645996]
[ 8.93845081],[ 47.74703217]
[ 8.93893147],[ 47.7468338]
[ 8.93889332],[ 47.74660873]
[ 8.93889332],[ 47.74669647]
[ 8.93891811],[ 47.74665833]
[ 8.93892097],[ 47.74666977]
[ 8.9389267],[ 47.74666977]
[ 8.93893242],[ 47.74670029]
[ 8.93896484],[ 47.74669647]
[ 8.93893051],[ 47.74668884]
[ 8.93892002],[ 47.74669266]
[ 8.93890572],[ 47.7467308]
[ 8.93903446],[ 47.74677658]
[ 8.93898296],[ 47.74680328]
[ 8.93894577],[ 47.74678421]
[ 8.93900967],[ 47.74686432]
[ 8.93900585],[ 47.74679947]
[ 8.938941],[ 47.74682999]
[ 8.93912983],[ 47.74681091]
[ 8.93902302],[ 47.74673843]
[ 8.93889809],[ 47.74666214]
[ 8.93895245],[ 47.7467804]
[ 8.93887997],[ 47.74668503]
[ 8.93902206],[ 47.74673462]
[ 8.93900204],[ 47.74670029]
[ 8.93884182],[ 47.74660873]
[ 8.93898201],[ 47.74667358]
[ 8.9389925],[ 47.7466011]
[ 8.93890762],[ 47.74661255]
[ 8.93899632],[ 47.74673843]
[ 8.93901539],[ 47.74673843]
[ 8.93898582],[ 47.74674606]
[ 8.93909931],[ 47.74677277]
[ 8.93907452],[ 47.7467308]
[ 8.93901825],[ 47.74669647]
[ 8.93901825],[ 47.74668503]
[ 8.93899918],[ 47.74665833]
