longitude,latitude
[ 8.84309196],[ 47.60538483]
[ 8.84308529],[ 47.60538101]
[ 8.84305668],[ 47.6054039]
[ 8.84304237],[ 47.60539627]
[ 8.84307384],[ 47.6053772]
[ 8.84307861],[ 47.60535049]
[ 8.84306431],[ 47.60531998]
[ 8.84305477],[ 47.6053009]
[ 8.84303284],[ 47.6052475]
[ 8.84301376],[ 47.60520554]
[ 8.8429966],[ 47.60520935]
[ 8.84297466],[ 47.60519409]
[ 8.84296513],[ 47.60516357]
[ 8.84296322],[ 47.60512924]
[ 8.84296036],[ 47.60515213]
[ 8.84296608],[ 47.60523224]
[ 8.84296989],[ 47.60528183]
[ 8.84298134],[ 47.60528946]
[ 8.84303951],[ 47.60526276]
[ 8.84303284],[ 47.60527039]
[ 8.84299183],[ 47.60532379]
[ 8.84297562],[ 47.60534286]
[ 8.84296322],[ 47.60534668]
[ 8.84295273],[ 47.60534286]
[ 8.84294415],[ 47.60533905]
[ 8.84294415],[ 47.60534668]
[ 8.84294605],[ 47.60535812]
[ 8.84294224],[ 47.60535049]
[ 8.84293365],[ 47.60535812]
[ 8.76078224],[ 47.71543503]
[ 8.78029823],[ 47.75271606]
[ 8.69616413],[ 47.91669083]
[ 4.56225109],[ 23.60922432]
[ 6.61650515],[ 35.92500687]
[ 7.76493549],[ 41.65182877]
[ 8.31615829],[ 44.66575623]
[ 8.58881092],[ 46.14730453]
[ 8.72839069],[ 46.88152695]
[ 8.78963566],[ 47.24203491]
[ 8.81685162],[ 47.42351532]
[ 8.83008003],[ 47.51432419]
[ 8.7525301],[ 47.66663361]
[ 8.77595901],[ 47.72838974]
[ 8.6947403],[ 47.90319824]
[ 4.56110859],[ 23.60391998]
[ 6.6159997],[ 35.92238617]
[ 7.76449585],[ 41.65045547]
[ 8.31586266],[ 44.66500092]
[ 8.58852482],[ 46.14694977]
[ 8.7281456],[ 46.88132477]
[ 8.69331169],[ 47.32573318]
[ 8.74467087],[ 47.55810165]
[ 8.68360615],[ 47.80839157]
[ 4.5518136],[ 23.56580162]
[ 6.61248684],[ 35.90377045]
[ 7.76243162],[ 41.64052963]
[ 8.3151722],[ 44.65953827]
[ 8.58826351],[ 46.14430618]
[ 8.72808933],[ 46.87997437]
[ 8.78944778],[ 47.24118423]
[ 8.72729301],[ 47.51996231]
[ 8.76243687],[ 47.65509033]
[ 8.68997192],[ 47.86253357]
[ 4.55696392],[ 23.58768082]
[ 6.61446381],[ 35.91439438]
[ 7.76361656],[ 41.64619827]
[ 8.31564426],[ 44.66267395]
[ 8.588521],[ 46.14587402]
[ 8.72818947],[ 46.88082123]
[ 8.78948593],[ 47.24168396]
[ 8.81676388],[ 47.42333984]
[ 8.82997799],[ 47.51424408]
[ 8.83653545],[ 47.55986404]
[ 8.83974361],[ 47.58266449]
[ 8.84134769],[ 47.59406281]
[ 8.84216499],[ 47.59978104]
[ 8.8425703],[ 47.60263062]
[ 8.84277344],[ 47.60403824]
[ 8.84287453],[ 47.60476685]
[ 8.84292507],[ 47.60512543]
[ 8.84296894],[ 47.60532761]
[ 8.84299374],[ 47.6054306]
[ 8.84299374],[ 47.60547638]
[ 8.84298325],[ 47.60546112]
[ 8.84296989],[ 47.60543823]
[ 8.84294033],[ 47.60543823]
[ 8.84292889],[ 47.60541153]
[ 8.84292698],[ 47.60539246]
[ 8.84292126],[ 47.6053772]
[ 8.84292221],[ 47.60537338]
[ 8.84296131],[ 47.60538864]
[ 8.8430109],[ 47.60538864]
[ 8.84300709],[ 47.60538483]
[ 8.84299564],[ 47.60538483]
[ 8.84299088],[ 47.6053772]
[ 8.84297848],[ 47.60535431]
[ 8.84295368],[ 47.60536957]
[ 8.84293556],[ 47.60538101]
[ 8.84294415],[ 47.60539627]
[ 8.84293747],[ 47.60541916]
[ 8.8429327],[ 47.60541534]
[ 8.84292889],[ 47.60541153]
[ 8.84287643],[ 47.60544205]
[ 8.8428688],[ 47.60544205]
[ 8.84286785],[ 47.60538483]
[ 8.84286308],[ 47.60538864]
[ 8.84287643],[ 47.60541534]
[ 8.84288025],[ 47.6054306]
[ 8.84287834],[ 47.60549164]
[ 8.84287643],[ 47.60548019]
[ 8.84284592],[ 47.60541534]
[ 8.84282494],[ 47.60535431]
[ 8.8428421],[ 47.60535812]
[ 8.84283829],[ 47.60538483]
[ 8.84284306],[ 47.60539246]
[ 8.84288692],[ 47.60537338]
[ 8.84288216],[ 47.60535049]
[ 8.84286404],[ 47.60533524]
[ 8.84287739],[ 47.60533524]
[ 8.84290695],[ 47.60534286]
[ 8.84291935],[ 47.60536194]
[ 8.84292316],[ 47.60536957]
[ 8.84292221],[ 47.60538483]
[ 8.84290886],[ 47.60539246]
[ 8.76075172],[ 47.7154541]
[ 8.78025341],[ 47.75273514]
[ 8.6961174],[ 47.91674042]
[ 4.56217432],[ 23.60926056]
[ 6.61644077],[ 35.92503738]
