longitude,latitude
[ 8.84285831],[ 47.60551071]
[ 8.84289551],[ 47.60548401]
[ 8.84294796],[ 47.60543823]
[ 8.84296894],[ 47.60538101]
[ 8.84300041],[ 47.60532761]
[ 8.84303951],[ 47.60529327]
[ 8.84303188],[ 47.60529327]
[ 8.84302044],[ 47.6053009]
[ 8.84299946],[ 47.60531235]
[ 8.84296703],[ 47.60533142]
[ 8.84295654],[ 47.60533905]
[ 8.84293842],[ 47.60534668]
[ 8.84294605],[ 47.60533142]
[ 8.843009],[ 47.6052742]
[ 8.84305191],[ 47.6052475]
[ 8.84306622],[ 47.60527039]
[ 8.84307384],[ 47.60530853]
[ 8.84307861],[ 47.60531616]
[ 8.84307384],[ 47.6052742]
[ 8.84307766],[ 47.60525131]
[ 8.84308147],[ 47.60525513]
[ 8.84307861],[ 47.60524368]
[ 8.84307003],[ 47.60522842]
[ 8.84306145],[ 47.60521698]
[ 8.84306622],[ 47.60520935]
[ 8.84306622],[ 47.60519409]
[ 8.84306812],[ 47.6051712]
[ 8.84307003],[ 47.60515976]
[ 8.76094246],[ 47.71515274]
[ 8.78043175],[ 47.75245285]
[ 8.69621468],[ 47.91648102]
[ 4.56231642],[ 23.60912704]
[ 6.48131132],[ 35.79372406]
[ 7.64839792],[ 41.45705032]
[ 8.24444199],[ 44.55435944]
[ 4.25854445],[ 22.25431633]
[ 6.48882771],[ 35.23825073]
[ 7.68490791],[ 41.29104233]
[ 8.28494644],[ 44.46900558]
[ 8.57142067],[ 46.05485916]
[ 8.72086906],[ 46.8367424]
[ 8.78623581],[ 47.21921921]
[ 8.81542015],[ 47.41203308]
[ 8.82935524],[ 47.50847626]
[ 8.83626652],[ 47.55686188]
[ 8.83965683],[ 47.58104324]
[ 8.84135151],[ 47.59313965]
[ 8.84220982],[ 47.59918976]
[ 8.84264565],[ 47.60221481]
[ 8.84285069],[ 47.60371399]
[ 8.8429594],[ 47.6044693]
[ 8.84301949],[ 47.60483551]
[ 8.8430481],[ 47.60500336]
[ 8.84308147],[ 47.60506821]
[ 8.84314442],[ 47.60505676]
[ 8.84313965],[ 47.60509872]
[ 8.84309387],[ 47.6051712]
[ 8.84306526],[ 47.60521317]
[ 8.84306049],[ 47.60522079]
[ 8.84306049],[ 47.60522461]
[ 8.84306049],[ 47.60523987]
[ 8.84306717],[ 47.60523605]
[ 8.84307098],[ 47.60523987]
[ 8.84306145],[ 47.60523605]
[ 8.84305096],[ 47.6052475]
[ 8.84303951],[ 47.60525513]
[ 8.84300995],[ 47.60526657]
[ 8.8429966],[ 47.60526657]
[ 8.84302044],[ 47.60523987]
[ 8.84303951],[ 47.60521317]
[ 8.84304619],[ 47.60522079]
[ 8.84305191],[ 47.60522079]
[ 8.84305477],[ 47.60523987]
[ 8.84305668],[ 47.6052475]
[ 8.84306049],[ 47.60525131]
[ 8.84306145],[ 47.60525131]
[ 8.84306812],[ 47.60527039]
[ 8.84307194],[ 47.60531998]
[ 8.84307861],[ 47.60536194]
[ 8.84310436],[ 47.60536575]
[ 8.84311104],[ 47.60536575]
[ 8.8431282],[ 47.60537338]
[ 8.84311962],[ 47.60536957]
[ 8.8431015],[ 47.60533524]
[ 8.84309483],[ 47.6053009]
[ 8.8430872],[ 47.6052742]
[ 8.84307384],[ 47.60526276]
[ 8.8430624],[ 47.60526657]
[ 8.84305668],[ 47.60525894]
[ 8.84305382],[ 47.60524368]
[ 8.84306145],[ 47.60522079]
[ 8.84306812],[ 47.60517502]
[ 8.84307957],[ 47.60516357]
[ 8.84308147],[ 47.60520554]
[ 8.8430891],[ 47.6052475]
[ 8.8431015],[ 47.60528183]
[ 8.84312248],[ 47.60530853]
[ 8.84318161],[ 47.60530853]
[ 8.84317875],[ 47.60527802]
[ 8.84313297],[ 47.60525131]
[ 8.84312534],[ 47.60523605]
[ 8.8431015],[ 47.60522079]
[ 8.84306145],[ 47.60520935]
[ 8.84304714],[ 47.60521317]
[ 8.84305191],[ 47.60522842]
[ 8.84305477],[ 47.60525131]
[ 8.84305954],[ 47.60528564]
[ 8.84306049],[ 47.60530472]
[ 8.84304523],[ 47.60533524]
[ 8.84303284],[ 47.60540009]
[ 8.84302521],[ 47.60538101]
[ 8.84303284],[ 47.60533142]
[ 8.84303665],[ 47.60531235]
[ 8.84302807],[ 47.60526657]
[ 8.84302902],[ 47.60523987]
[ 8.84303093],[ 47.60521698]
[ 8.84302235],[ 47.60520554]
[ 8.84300995],[ 47.60519028]
[ 8.84299469],[ 47.60520554]
[ 8.84299088],[ 47.60521317]
[ 8.8429842],[ 47.60518265]
[ 8.84299183],[ 47.60519028]
[ 8.84300423],[ 47.60520554]
[ 8.84300804],[ 47.60522842]
